Asterolecaniidae	f
Asterophryinae	f
Astraea	f
Astroblepidae	f
Astronieae	f
Astropectinidae	f
Ata	t
Atalophlebiinae	f
Atelidae	f
Ateluridae	f
Athanasia	t
Athericidae	f
Atherinidae	f
Atherinopsidae	f
Atherospermataceae	f
Athienemanniidae	f
Athletes	t
Athyriaceae	f
Atlanta	t
Atlantic salmon	f
Atopomelidae	f
Atractaspididae	f
Atractidae	f
Atta	t
Attali	t
Attelabidae	f
Attila	t
Aturidae	f
Atyidae	f
Atypidae	f
Auchenipteridae	f
Auchenoglanididae	f
Auchus	t
Audus	t
Augusta	t
Aulacidae	f
Auletta	t
Auli	t
Aulostomidae	f
Aurelia	t
Austrobaileyaceae	f
Austroleptidae	f
Autographa californica nuclear polyhedrosis virus	f
Aveneae	f
Aveninae	f
Averna	t
Aves	f
Avialae	f
Avian	t
Avicenniaceae	f
Axial	t
Axiidae	f
Axinellidae	f
Axis	t
Aye	t
Ayesha	t
Aytoniaceae	f
Aza	t
Azanza	t
Azoarcus	f
Azollaceae	f
Azotobacter vinelandii	f
Azygiidae	f
B beta	t
B group	f
B-D	t
B. A	t
B. ABORTUS	f
B. ANTHRACIS	f
B. APHIDICOLA	f
B. BACTERIOVORUS	f
B. BRONCHISEPTICA	f
B. BURGDORFERI	f
B. CEREUS	f
B. CICADELLINICOLA	f
B. CLAUSII	f
B. FRAGILIS	f
B. GARINII	f
B. HALODURANS	f
B. HENSELAE	f
B. JAPONICUM	f
B. LICHENIFORMIS	f
B. LONGUM	f
B. MALLEI	f
B. MELITENSIS	f
B. PARAPERTUSSIS	f
B. PERTUSSIS	f
B. PSEUDOMALLEI	f
B. QUINTANA	f
B. SUBTILIS	f
B. SUIS	f
B. TAURUS	f
B. THAILANDENSIS	f
B. THETAIOTAOMICRON	f
B. THURINGIENSIS	f
B. XENOVORANS	f
B. abortus	f
B. anthracis	f
B. aphidicola	f
B. bacteriovorus	f
B. bronchiseptica	f
B. burgdorferi	f
B. cereus	f
B. cicadellinicola	f
B. clausii	f
B. fragilis	f
B. garinii	f
B. halodurans	f
B. henselae	f
B. japonicum	f
B. licheniformis	f
B. longum	f
B. mallei	f
B. melitensis	f
B. parapertussis	f
B. pertussis	f
B. pseudomallei	f
B. quintana	f
B. subtilis	f
B. suis	f
B. taurus	f
B. thailandensis	f
B. thetaiotaomicron	f
B. thuringiensis	f
B. xenovorans	f
B.D	t
B.G	t
B3	t
B5	t
B8	t
BA	t
BACILLUS ANTHRACIS	f
BACILLUS CEREUS	f
BACILLUS CLAUSII	f
BACILLUS HALODURANS	f
BACILLUS LICHENIFORMIS	f
BACILLUS SUBTILIS	f
BACILLUS THURINGIENSIS	f
BACTERIA	f
BACTERIAL	t
BACTEROIDES FRAGILIS	f
BACTEROIDES THETAIOTAOMICRON	f
BAHIA	t
BAKER'S YEAST	f
BALMES	t
BARTONELLA HENSELAE	f
BARTONELLA QUINTANA	f
BASSI	t
BAUMANNIA CICADELLINICOLA	f
BCG	t
BD	t
BDELLOVIBRIO BACTERIOVORUS	f
BDV	f
BE	t
BEAR	t
BER	t
BETA	t
BFR	t
BHATIA	t
BIA	t
BIAS	t
BIFIDOBACTERIUM LONGUM	f
BIO	t
BIRDS	t
BKV	f
BLA	t
BLV	f
BORDETELLA BRONCHISEPTICA	f
BORDETELLA PARAPERTUSSIS	f
BORDETELLA PERTUSSIS	f
BORIS	t
BOROS	t
BORRELIA BURGDORFERI	f
BORRELIA GARINII	f
BOS	t
BOS TAURUS	f
BOs	t
BPI	t
BPV	t
BR	t
BRADYRHIZOBIUM JAPONICUM	f
BREWER'S YEAST	f
BRILL	t
BRS	t
BRUCELLA ABORTUS	f
BRUCELLA MELITENSIS	f
BRUCELLA SUIS	f
BRs	t
BSP	t
BUCHNERA APHIDICOLA	f
BUDDING YEAST	f
BURKHOLDERIA MALLEI	f
BURKHOLDERIA PSEUDOMALLEI	f
BURKHOLDERIA SP. 383	f
BURKHOLDERIA THAILANDENSIS	f
BURKHOLDERIA XENOVORANS	f
BVDV	f
Ba	t
Babesia	f
Babul	t
Bacchini	t
Bacillales	f
Bacillariaceae	f
Bacillariophyceae	f
Bacillariophyta	f
Bacilli	f
Bacillus	f
Bacillus Calmette-Guerin	t
Bacillus anthracis	f
Bacillus cereus	f
Bacillus clausii	f
Bacillus halodurans	f
Bacillus licheniformis	f
Bacillus sp	f
Bacillus stearothermophilus	f
Bacillus subtilis	f
Bacillus thuringiensis	f
Bacteria	f
Bacteriae	f
Bacterial	f
Bacterium	f
Bacteroides	f
Bacteroides fragilis	f
Bacteroides thetaiotaomicron	f
Bacteroidetes	f
Bacteroidota	f
Baculovirus	f
Bacus	t
Badidae	f
Baetidae	f
Bagridae	f
Bahia	t
Baker's yeast	f
Balani	t
Balanidae	f
Balboa	t
Balci	t
Baliga	t
Balistidae	f
Balitoridae	f
Ballal	t
Balli	t
Balmes	t
Balneolaeota	f
Balsa	t
Baltas	t
Bambusodae	f
Bambusoideae	f
Banchinae	f
Banchini	t
Bandara	t
Bandera	t
Bangiaceae	f
Bangiophyceae	f
Barbanti	t
Barbara	t
Barbi	t
Barbinae	f
Barbu	t
Barca	t
Bardana	t
Barea	t
Bares	t
Baris	t
Barley	t
Barna	t
Barnas	t
Barnaviridae	f
Barnea	t
Barraza	t
Bartonella	f
Bartonella henselae	f
Bartonella quintana	f
Barychelidae	f
Basellaceae	f
Basidiomycota	f
Basil	t
Bassi	t
Bata	t
Bataguridae	f
Bathydraconidae	f
Batia	t
Batillariidae	f
Batra	t
Bats	t
Baumannia cicadellinicola	f
Bdellidae	f
Bdellovibrio bacteriovorus	f
Be	t
Bear	t
Beata	t
Beavers	t
Beccaria	t
Bed bugs	f
Bee	t
Beetles	f
Begoniaceae	f
Behari	t
Behnia	t
Beijerinckiaceae	f
Beiras	t
Bela	t
Belal	t
Belda	t
Bellia	t
Bellis	t
Belonidae	f
Beloniformes	f
Belostomatidae	f
Bembicinae	f
Bena	t
Benincasa	t
Benincaseae	f
Ber	t
Berenice	t
Beri	t
Beris	t
Berkeleyaceae	f
Bero	t
Berothidae	f
Berta	t
Bertolonieae	f
Berytidae	f
Besa	t
Besra	t
Bessa	t
Bester	t
Beta	t
Beta-proteobacteria	f
Betaherpesviruses	f
Betaproteobacteria	f
Bethylidae	f
Betoideae	f
Betta	t
Betulaceae	f
Bev	t
Bhatia	t
Bia	t
Bias	t
Bibionidae	f
Biblidinae	f
Bifidobacterium	f
Bifidobacterium longum	f
Bignoniaceae	f
Bignonieae	f
Bino	t
Bio	t
Bio-	t
Bionectriaceae	f
Birds	t
Bisgaard	t
Biting midges	f
Bittacidae	f
Bivalves	f
Bivalvia	f
Blaberidae	f
Blaberinae	f
Blaniulidae	f
Blastobasidae	f
Blastocatellaceae	f
Blastocladiomycota	f
Blattaria	f
Blattellidae	f
Blattellinae	f
Blattidae	f
Blattisociidae	f
Blattodea	f
Blechnaceae	f
Blenniidae	f
Blephariceridae	f
Blissidae	f
Blue Green Algae	f
Blue green algae	f
Blue-green algae	f
Bocchi	t
Bocchinae	f
Bochicidae	f
Bodo	t
Bodonidae	f
Bodotriidae	f
Boga	t
Bogue	t
Boidae	f
Boinae	f
Bolbitiaceae	f
Boletales	f
Boletineae	f
Bolidophyceae	f
Bolivar	t
Bolla	t
Bombinatoridae	f
Bombycidae	f
Bombycillidae	f
Bombyliidae	f
Bombyliinae	f
Bombyx mori	f
Bomolochidae	f
Bondarzewiaceae	f
Bonito	t
Bopyridae	f
Boraginaceae	f
Bordea	f
Bordetella bronchiseptica	f
Bordetella parapertussis	f
Bordetella pertussis	f
Boreidae	f
Boris	t
Boros	t
Borrelia	f
Borrelia burgdorferi	f
Borrelia garinii	f
Bos	t
Bos taurus	f
Boscia	t
Bosminidae	f
Bostrichidae	f
Bostrychidae	f
Bothidae	f
Bothrideridae	f
Bothriocephalidae	f
Bothriuridae	f
Botiidae	f
Boto	t
Botrucnidiferidae	f
Botryosphaeriales	f
Botrytis cinerea	f
Bovichtidae	f
Bovine	f
Br	t
Br and I	t
BrS	t
Brachininae	f
Brachionidae	f
Brachiopoda	f
Brachycentridae	f
Brachycephalidae	f
Brachyceridae	f
Brachychthoniidae	f
Brachycoeliidae	f
Brachylaimidae	f
Brachytheciaceae	f
Brachyura	f
Bracken	t
Braconidae	f
Braconinae	f
Brada	t
Bradley A	t
Bradybaenidae	f
Bradypodidae	f
Bradyporinae	f
Bradyrhizobium japonicum	f
Braganza	t
Brama	t
Bramble	t
Bramidae	f
Branchi	t
Branchiopoda	f
Brandi	t
Brassica	f
Brassica napus	f
Brassicaceae	f
Brat	t
Bream	t
Breda	t
Bregmacerotidae	f
Brenda	t
Brentidae	f
Bresiliidae	f
Brevibacteriaceae	f
Brevicipitidae	f
Brewer's yeast	f
Briareidae	f
Brigida	t
Briley	t
Brill	t
Broccoli	t
Brodskii	f
Bromeae	f
Bromelioideae	f
Bronchus	f
Brose	t
Brossi	t
Brown algae	f
Brucella	f
Brucella abortus	f
Brucella melitensis	f
Brucella suis	f
Bruchidae	f
Bruchinae	f
Brunia	t
Bryaceae	f
Bryconidae	f
Bryidae	f
Bryophilinae	f
Bryophyta	f
Bryophytes	f
Bryozoa	f
Bua	t
Buccinidae	f
Bucculatricidae	f
Bucephalidae	f
Buchnera aphidicola	f
Buda	t
Budding yeast	f
Buea	f
Bufo	t
Bufonidae	f
Bulgaria	t
Bulimulidae	f
Bulla	t
Buprestidae	f
Buprestinae	f
Burenellidae	f
Burkholderia mallei	f
Burkholderia pseudomallei	f
Burkholderia sp. 383	f
Burkholderia thailandensis	f
Burkholderia xenovorans	f
Burkholderiales	f
Burkholderiales incertae sedis	f
Burmanniaceae	f
Burramyidae	f
Burseraceae	f
Butomaceae	f
Butterflies	f
Buxaceae	f
Byrrhidae	f
Bythitidae	f
C alpha	t
C and A	t
C beta	t
C gamma	t
C group	t
C-E	t
C-fiber	t
C. ABORTUS	f
C. ACETOBUTYLICUM	f
C. BURNETII	f
C. CAVIAE	f
C. CHLOROCHROMATII	f
C. CRESCENTUS	f
C. DIPHTHERIAE	f
C. EFFICIENS	f
C. FAMILIARIS	f
C. FELIS	f
C. GLABRATA	f
C. GLUTAMICUM	f
C. HOMINIS	f
C. HYDROGENOFORMANS	f
C. INTESTINALIS	f
C. JEIKEIUM	f
C. JEJUNI	f
C. MEROLAE	f
C. MURIDARUM	f
C. PERFRINGENS	f
C. PNEUMONIAE	f
C. PSYCHRERYTHRAEA	f
C. SALEXIGENS	f
C. TEPIDUM	f
C. TETANI	f
C. TRACHOMATIS	f
C. VIOLACEUM	f
C. abortus	f
C. acetobutylicum	f
C. albicans	f
C. burnetii	f
C. caviae	f
C. chlorochromatii	f
C. crescentus	f
C. difficile	f
C. diphtheriae	f
C. efficiens	f
C. familiaris	f
C. felis	f
C. glabrata	f
C. glutamicum	f
C. hominis	f
C. hydrogenoformans	f
C. intestinalis	f
C. jeikeium	f
C. jejuni	f
C. merolae	f
C. muridarum	f
C. neoformans	f
C. parapsilosis	f
C. parvum	f
C. perfringens	f
C. pneumoniae	f
C. psychrerythraea	f
C. salexigens	f
C. tepidum	f
C. tetani	f
C. trachomatis	f
C. tropicalis	f
C. violaceum	f
C1A	t
CAENORHABDITIS	f
CAENORHABDITIS ELEGANS	f
CALLA	t
CAMPANA	t
CAMPYLOBACTER JEJUNI	f
CANDIDA GLABRATA	f
CANDIDATUS BLOCHMANNIA FLORIDANUS	f
CANDIDATUS BLOCHMANNIA PENNSYLVANICUS	f
CANDIDATUS PELAGIBACTER UBIQUE	f
CANDIDATUS PROTOCHLAMYDIA AMOEBOPHILA	f
CANIS FAMILIARIS	f
CAPRA	t
CARA	t
CARBOXYDOTHERMUS HYDROGENOFORMANS	f
CARDINAL	t
CAROLI	t
CARP	t
CARS	t
CARs	t
CATTLE	t
CATs	t
CAULOBACTER CRESCENTUS	f
CAV	t
CB1	f
CCF	t
CDV	t
CE	t
CEA	t
CEOs	t
CFA	t
CFD	t
CHANDRA	t
CHELI	t
CHEN	t
CHICKEN	f
CHICKENS	f
CHIMPANZEE	f
CHIMPANZEES	f
CHLAMYDIA MURIDARUM	f
CHLAMYDIA TRACHOMATIS	f
CHLAMYDOPHILA ABORTUS	f
CHLAMYDOPHILA CAVIAE	f
CHLAMYDOPHILA FELIS	f
CHLAMYDOPHILA PNEUMONIAE	f
CHLOROBIUM CHLOROCHROMATII	f
CHLOROBIUM TEPIDUM	f
CHP	t
CHROMOBACTERIUM VIOLACEUM	f
CHROMOHALOBACTER SALEXIGENS	f
CHU	t
CIMA	t
CIONA INTESTINALIS	f
CIS	t
CIs	t
CK1	t
CLOSTRIDIUM ACETOBUTYLICUM	f
CLOSTRIDIUM PERFRINGENS	f
CLOSTRIDIUM TETANI	f
CMA	t
CMI	t
CMV	f
CNV	t
COFFEE	t
COLLECTION	t
COLO	t
COLOR	t
COLWELLIA PSYCHRERYTHRAEA	f
CORDONNIER	t
CORN	t
CORNU	t
CORREA	t
CORSINI	t
CORYNEBACTERIUM DIPHTHERIAE	f
CORYNEBACTERIUM EFFICIENS	f
CORYNEBACTERIUM GLUTAMICUM	f
CORYNEBACTERIUM JEIKEIUM	f
COTTON	t
COW	f
COWS	f
COXIELLA BURNETII	f
CPV	t
CR1	t
CR2	t
CRYPTOSPORIDIUM HOMINIS	f
CTI	t
CULLEN	t
CYANIDIOSCHYZON MEROLAE	f
CaMV	t
Cabeza	t
Cabezas	t
Cabombaceae	f
Cabral	t
Cabras	t
Cacteae	f
Cactoideae	f
Caeciliidae	f
Caelifera	f
Caenidae	f
Caenogastropoda	f
Caenolestidae	f
Caenorhabditis	f
Caenorhabditis elegans	f
Caesalpinieae	f
Caesalpinioideae	f
Caesionidae	f
Cafer	t
Cagri	t
Caio	t
Calamia	t
Calamoceratidae	f
Calamoideae	f
Calanidae	f
Calanoida	f
Calaphidinae	f
Calcagnini	t
Calcarea	f
Calceolariaceae	f
Caldilineae	f
Calditrichaeota	f
Calenduleae	f
Caleremaeus	f
Cales	t
Calia	t
California	t
Calinaginae	f
Caliscelidae	f
Callas	t
Callianassidae	f
Callichiridae	f
Callichthyidae	f
Callionymidae	f
Calliostomatidae	f
Callipallenidae	f
Calliphoridae	f
Calliphorinae	f
Calliptaminae	f
Callithamniaceae	f
Calloporidae	f
Callyspongiidae	f
Calophyidae	f
Calopterygidae	f
Calosphaeriales	f
Calpha	t
Calyptraeidae	f
Calythea	f
Camaenidae	f
Camallanidae	f
Camara	t
Cambaridae	f
Camel	t
Camelia	t
Camera	t
Camila	t
Camilla	t
Caminal	t
Campana	t
Campanella	t
Campanile	t
Campanulariidae	f
Campanulinidae	f
Campephagidae	f
Campion	t
Campodeidae	f
Campopleginae	f
Campylobacter	f
Campylobacter jejuni	f
Canacidae	f
Canalis	t
Canani	t
Canaries	f
Canary	t
Canas	t
Cancellariidae	f
Cancilla	t
Cancridae	f
Canda	t
Candas	t
Candelaria	t
Candi	t
Candida	t
Candida albicans	f
Candida glabrata	f
Candida parapsilosis	f
Candida tropicalis	f
Candidatus Blochmannia floridanus	f
Candidatus Blochmannia pennsylvanicus	f
Candidatus Pelagibacter ubique	f
Candidatus Protochlamydia amoebophila	f
Candidatus Thalassarchaeaceae	f
Candonidae	f
Canella	t
Canellaceae	f
Canestriniidae	f
Canga	t
Canis	t
Canis familiaris	f
Canna	t
Cannaceae	f
Cannas	t
Cantharidae	f
Cantharinae	f
Canthocamptidae	f
Capella	t
Capillariidae	f
Capitellidae	f
Capniidae	f
Capnodiaceae	f
Capnodiales	f
Caponiidae	f
Capparaceae	f
Capra	t
Caprellidae	f
Caprimulgidae	f
Caprimulgimorphae	f
Capromyidae	f
Capsalidae	f
Capsalidea	f
Capua	t
Cara	t
Carabidae	f
Carabinae	f
Caraboctonidae	f
Carabodidae	f
Carangidae	f
Carassius auratus	f
Caraway	t
Carboxydothermus hydrogenoformans	f
Carcharhinidae	f
Carcharhiniformes	f
Cardi	t
Cardia	t
Cardiidae	f
Cardinal	t
Cardiochilinae	f
Cardiopteridaceae	f
Carditidae	f
Cardueae	f
Carduinae	f
Carduoideae	f
Carel	t
Caretta	t
