model	dataset	k	n_repeats	threshold	accuracy	precision	recall	specificity	f1	tp	tn	fp	fn
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.14957264957264957	0.949	0.357	0.343	0.974	0.347	9	658	17	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.150997150997151	0.949	0.357	0.343	0.974	0.347	9	658	17	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.15242165242165243	0.949	0.357	0.343	0.974	0.347	9	658	17	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.15384615384615385	0.949	0.361	0.343	0.974	0.349	9	658	17	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.15527065527065528	0.949	0.361	0.343	0.974	0.349	9	658	17	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.1566951566951567	0.950	0.367	0.343	0.975	0.352	9	659	17	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.15811965811965814	0.950	0.370	0.343	0.975	0.353	9	659	16	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.15954415954415954	0.951	0.376	0.343	0.976	0.356	9	659	16	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.16096866096866097	0.951	0.377	0.343	0.976	0.357	9	659	16	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.1623931623931624	0.951	0.380	0.343	0.976	0.358	9	660	16	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.16381766381766383	0.951	0.380	0.343	0.976	0.358	9	660	16	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.16524216524216526	0.951	0.375	0.336	0.976	0.351	9	660	16	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.16666666666666669	0.951	0.375	0.336	0.976	0.351	9	660	16	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.16809116809116809	0.951	0.375	0.336	0.976	0.351	9	660	16	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.16951566951566951	0.951	0.375	0.336	0.976	0.351	9	660	16	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.17094017094017094	0.951	0.370	0.329	0.976	0.345	9	660	16	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.17236467236467237	0.951	0.374	0.329	0.977	0.347	9	660	15	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.1737891737891738	0.951	0.376	0.329	0.977	0.348	9	660	15	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.17521367521367523	0.951	0.376	0.329	0.977	0.348	9	660	15	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.17663817663817666	0.951	0.376	0.329	0.977	0.348	9	660	15	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.17806267806267806	0.951	0.381	0.329	0.977	0.349	9	660	15	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.1794871794871795	0.951	0.381	0.329	0.977	0.349	9	660	15	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.18091168091168092	0.951	0.381	0.329	0.977	0.349	9	660	15	18
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.18233618233618235	0.952	0.383	0.329	0.978	0.351	9	660	15	18
