model	model_nr	dataset	k	n_repeats	threshold	accuracy	precision	recall	specificity	f1	tp	tn	fp	fn
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.18376068376068377	0.943	0.286	0.286	0.970	0.286	8	656	20	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.1851851851851852	0.943	0.286	0.286	0.970	0.286	8	656	20	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.18660968660968663	0.943	0.286	0.286	0.970	0.286	8	656	20	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.18803418803418803	0.943	0.286	0.286	0.970	0.286	8	656	20	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.18945868945868946	0.943	0.286	0.286	0.970	0.286	8	656	20	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.1908831908831909	0.943	0.286	0.286	0.970	0.286	8	656	20	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.19230769230769232	0.945	0.296	0.286	0.972	0.291	8	657	19	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.19373219373219375	0.945	0.296	0.286	0.972	0.291	8	657	19	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.19515669515669518	0.945	0.296	0.286	0.972	0.291	8	657	19	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.1965811965811966	0.945	0.296	0.286	0.972	0.291	8	657	19	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.198005698005698	0.945	0.296	0.286	0.972	0.291	8	657	19	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.19943019943019943	0.945	0.296	0.286	0.972	0.291	8	657	19	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.20085470085470086	0.946	0.308	0.286	0.973	0.296	8	658	18	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.2022792022792023	0.946	0.308	0.286	0.973	0.296	8	658	18	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.20370370370370372	0.946	0.308	0.286	0.973	0.296	8	658	18	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.20512820512820515	0.946	0.308	0.286	0.973	0.296	8	658	18	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.20655270655270655	0.946	0.308	0.286	0.973	0.296	8	658	18	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.20797720797720798	0.946	0.308	0.286	0.973	0.296	8	658	18	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.2094017094017094	0.946	0.308	0.286	0.973	0.296	8	658	18	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.21082621082621084	0.947	0.320	0.286	0.975	0.302	8	659	17	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.21225071225071226	0.947	0.320	0.286	0.975	0.302	8	659	17	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.2136752136752137	0.947	0.320	0.286	0.975	0.302	8	659	17	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.21509971509971512	0.949	0.333	0.286	0.976	0.308	8	660	16	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.21652421652421652	0.949	0.333	0.286	0.976	0.308	8	660	16	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.21794871794871795	0.950	0.348	0.286	0.978	0.314	8	661	15	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.21937321937321938	0.950	0.348	0.286	0.978	0.314	8	661	15	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.2207977207977208	0.950	0.348	0.286	0.978	0.314	8	661	15	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.22222222222222224	0.950	0.348	0.286	0.978	0.314	8	661	15	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.22364672364672367	0.950	0.348	0.286	0.978	0.314	8	661	15	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.2250712250712251	0.950	0.348	0.286	0.978	0.314	8	661	15	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.2264957264957265	0.950	0.348	0.286	0.978	0.314	8	661	15	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.22792022792022792	0.950	0.348	0.286	0.978	0.314	8	661	15	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.22934472934472935	0.950	0.348	0.286	0.978	0.314	8	661	15	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.23076923076923078	0.950	0.348	0.286	0.978	0.314	8	661	15	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.2321937321937322	0.950	0.348	0.286	0.978	0.314	8	661	15	20
logistic_regression	fold1_rep1	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.23361823361823364	0.950	0.348	0.286	0.978	0.314	8	661	15	20
