model	model_nr	dataset	k	n_repeats	threshold	accuracy	precision	recall	specificity	f1	tp	tn	fp	fn
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.08226495726495728	0.936	0.386	0.614	0.952	0.474	27	851	43	17
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.08333333333333334	0.938	0.397	0.614	0.954	0.482	27	853	41	17
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.08440170940170941	0.939	0.403	0.614	0.955	0.486	27	854	40	17
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.08547008547008547	0.940	0.409	0.614	0.956	0.491	27	855	39	17
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.08653846153846155	0.940	0.409	0.614	0.956	0.491	27	855	39	17
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.08760683760683761	0.941	0.413	0.591	0.959	0.486	26	857	37	18
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.08867521367521368	0.941	0.413	0.591	0.959	0.486	26	857	37	18
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.08974358974358976	0.941	0.413	0.591	0.959	0.486	26	857	37	18
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.09081196581196582	0.941	0.413	0.591	0.959	0.486	26	857	37	18
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.09188034188034189	0.942	0.419	0.591	0.960	0.491	26	858	36	18
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.09294871794871795	0.942	0.419	0.591	0.960	0.491	26	858	36	18
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.09401709401709403	0.941	0.410	0.568	0.960	0.476	25	858	36	19
logistic_regression	fold1_rep1	cc_combined_evaluation_combined_super_vector_files	5	1	0.0950854700854701	0.941	0.410	0.568	0.960	0.476	25	858	36	19
